,if,lof,svm,aedp,ahdp,kedp,khdp,cone,ekde,hkde,lhkde,lekde,lskde,mlkde,Metric,path
0,0.44063428874250204,0.5176319692651172,0.4984636094249275,0.5422222850173681,0.46556693707600766,0.5735539944257138,0.6985001244643663,0.5973445177736746,0.5211175188950966,0.6123384552748787,0.5024765649097197,0.5024765649097197,0.5256972902971602,0.26123686822733544,AuROC,./ad/cover/results_mdppprgln_2_1e2.pkl
1,0.1231668533433819,0.19025642277122895,0.13160812110485223,0.145296957044211,0.12887565832306114,0.1553587190917873,0.22928513924343413,0.16971373557345912,0.1471081418067109,0.18277757463456418,0.1353452838181471,0.1353452838181471,0.1380330408109285,0.09434838857648953,AuPRC,./ad/cover/results_mdppprgln_2_1e2.pkl
0,0.38004638618044984,0.5176319692651172,0.4984636094249275,0.8164748309344276,0.34109418199080993,0.8028317742463468,0.22130841759021427,0.5973445177736746,0.8076667920678603,0.3761762606198112,0.8351433359114337,0.8351433359114337,0.3912486686468619,0.18262489210523666,AuROC,./ad/cover/results_mdppprgln_2_1e1.pkl
1,0.11194063995371253,0.19025642277122895,0.13160812110485223,0.4557521005633541,0.10797066547885403,0.4114876058361706,0.0918269739757181,0.16971373557345912,0.43649963923702273,0.1069905186772648,0.7370837457281816,0.7370837457281816,0.11330790954182549,0.08731761785513796,AuPRC,./ad/cover/results_mdppprgln_2_1e1.pkl
0,0.31911082264559343,0.5176319692651172,0.4984636094249275,0.6086335892508787,0.3013059454608287,0.6597376642993216,0.013710262770728513,0.5973445177736746,0.6269317546861202,0.5593040050911329,0.7706602099657395,0.7706602099657395,0.5531311700716295,0.2609086599104361,AuROC,./ad/cover/results_mdppprgln_2_1e0.pkl
1,0.1036094833691712,0.19025642277122895,0.13160812110485223,0.18806534142656844,0.10039780963940542,0.2102932389195892,0.07630031402934817,0.16971373557345912,0.19533200188934702,0.16366597250311254,0.6496411360417,0.6496411360417,0.1492721875525305,0.0935961713315707,AuPRC,./ad/cover/results_mdppprgln_2_1e0.pkl
0,0.6574510616602534,0.566901176211594,0.5522872782224512,0.6598531420901754,0.378222273617646,0.6429814961932981,0.504523780779667,0.48808706093024323,0.6000563601365931,0.5097879253919017,0.6396076575442582,0.6396076575442582,0.39605217711253277,0.41379375960997633,AuROC,./ad/mammography/results_mdppprgln_2_1e1.pkl
1,0.13602535628062232,0.10523010796049313,0.13822656492771204,0.1293298428895975,0.07027662310754633,0.12003520758924253,0.08577218447677808,0.09202194211520295,0.11311107335308006,0.08691011467292067,0.12004965387862891,0.12004965387862891,0.07214122368010391,0.0738576150716569,AuPRC,./ad/mammography/results_mdppprgln_2_1e1.pkl
0,0.6483809384046939,0.566901176211594,0.5522872782224512,0.42564631673629433,0.41713930648717523,0.428060667444041,0.5448153604388333,0.48808706093024323,0.39571241667003215,0.3385668131588908,0.36166866412649895,0.36166866412649895,0.39098810728038286,0.3425937508832992,AuROC,./ad/mammography/results_mdppprgln_2_1e0.pkl
1,0.13222444414503326,0.10523010796049313,0.13822656492771204,0.07637064953584308,0.07511645077462054,0.07504264675784675,0.09872169003123454,0.09202194211520295,0.0718460773330666,0.06621037810734592,0.06801673581380882,0.06801673581380882,0.0710260088560449,0.06664366589873495,AuPRC,./ad/mammography/results_mdppprgln_2_1e0.pkl
0,0.6602574397298291,0.566901176211594,0.5522872782224512,0.5212904742228086,0.4465244913348672,0.4828682337510891,0.4477144864028257,0.48808706093024323,0.4933571446263625,0.4507296892929508,0.47724265586368897,0.47724265586368897,0.42657311363327355,0.39275573776084216,AuROC,./ad/mammography/results_mdppprgln_2_1e-1.pkl
1,0.13794541366295043,0.10523010796049313,0.13822656492771204,0.09766806161840896,0.0799802698203781,0.09017335744585793,0.09071913347056026,0.09202194211520295,0.09528571755368283,0.08091910791534945,0.08288117545677404,0.08288117545677404,0.07502166169872254,0.07122963369318383,AuPRC,./ad/mammography/results_mdppprgln_2_1e-1.pkl
0,0.6435718875847694,0.566901176211594,0.5522872782224512,0.5650426822493443,0.46620716973366083,0.5094747662076593,0.3305003289328453,0.48808706093024323,0.5155538061772924,0.46941913473415486,0.5604662987773994,0.5604662987773994,0.41074126723768983,0.37459592088747284,AuROC,./ad/mammography/results_mdppprgln_2_1e2.pkl
1,0.1327958048429591,0.10523010796049313,0.13822656492771204,0.09906408694743951,0.0828624882984118,0.09078125893184702,0.06654903940174908,0.09202194211520295,0.09132169865043296,0.08083239120650598,0.09869011905580194,0.09869011905580194,0.07386949999417863,0.07010321309226766,AuPRC,./ad/mammography/results_mdppprgln_2_1e2.pkl
