"V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
0.09,0.13,0.01,0.31,0.5,0,0.51,0.31,0,1,1
0.14,0.09,0.03,0.16,0.5,0,0.49,0.22,0,1,1
0.1,0.09,0.01,0.26,0.5,0,0.46,0.59,0,1,0
0.02,0.17,0.13,0.3,0.5,0,0.37,0.22,0,0,1
0.15,0.11,0.0599999999999999,0.19,0.5,0,0.57,0.22,1,1,1
0.07,0.06,0.05,0.1,0.5,0,0.51,0.22,0,0,1
0.18,0.22,0.01,0.65,0.5,0,0.47,0.36,1,1,1
0,0.02,0.02,0.16,0.5,0,0.52,0.27,0,0,1
0.18,0.05,0.02,0.23,0.5,0,0.49,0.32,0,0,1
0.18,0.18,0.05,0.33,0.5,0,0.48,0.33,0,0,1
0.05,0.11,0.01,0.18,0.5,0,0.52,0.22,1,0,1
0.12,0.23,0.2,0.33,0.5,0,0.44,0.22,1,1,0
0.03,0.02,0,0.54,0.5,0,0.45,0.27,1,1,0
0.03,0.09,0.09,0.12,0.5,0,0.45,0.22,1,0,1
0.02,0.03,0.08,0.49,0.5,0,0.44,0.22,0,0,1
0.0700000000000001,0.08,0.07,0.21,0.5,0,0.58,0.22,1,0,1
0.09,0.0700000000000001,0.06,0.12,0.5,0,0.49,0.22,1,1,0
0.15,0.13,0.03,0.11,0.5,0,0.64,0.21,0,0,1
0.04,0.05,0,0.33,0.5,0,0.48,0.22,1,0,0
0.04,0.04,0.09,0.13,0.5,0,0.51,0.22,1,1,1
0.04,0.22,0.0599999999999999,0.36,0.5,0,0.48,0.18,0,0,1
0.0600000000000001,0.07,0.17,0.3,0.5,0,0.48,0.22,1,0,0
0.13,0.19,0.13,0.08,0.5,0,0.47,0.25,0,1,0
0.26,0.29,0.02,0.2,0.5,0,0.56,0.22,0,0,1
0.11,0.01,0.08,0.22,0.5,0,0.54,0.22,0,0,1
0.31,0.03,0.01,0.15,0.5,0,0.47,0.22,1,0,0
0.11,0.0700000000000001,0.04,0.2,0.5,0,0.5,0.38,1,1,0
0.08,0.25,0.03,0.26,0.5,0,0.59,0.22,0,0,1
0.03,0.14,0.02,0.16,0.5,0,0.49,0.29,0,0,1
0.14,0.1,0.0599999999999999,0.11,0.5,0,0.52,0.22,0,0,1
0.04,0.0700000000000001,0.03,0.32,0.5,0,0.43,0.22,0,1,1
0.03,0.26,0.14,0.14,0.5,0,0.54,0.22,1,1,0
0.17,0.02,0.04,0.12,0.5,0,0.48,0.22,0,0,1
0.15,0.11,0.06,0.19,0.5,0,0.49,0.22,0,0,0
0.04,0.19,0.09,0.19,0.5,0,0.47,0.22,1,1,0
0.0600000000000001,0.03,0.05,0.31,0.5,0,0.42,0.48,1,0,0
0.14,0.11,0.04,0.13,0.5,0,0.48,0.43,0,1,0
0.14,0.13,0.09,0.12,0.5,0,0.48,0.25,1,1,0
0.24,0.09,0,0.18,0.5,0,0.5,0.27,0,0,0
0.16,0.05,0.02,0.08,0.5,0,0.52,0.49,0,0,0
0.07,0.03,0.11,0.17,0.5,0,0.5,0.26,0,1,0
0.08,0.1,0,0.52,0.5,0,0.51,0.22,0,0,0
0.12,0.15,0.19,0.22,0.5,0,0.44,0.22,0,0,0
0.2,0.11,0.01,0.31,0.5,0,0.45,0.22,1,1,0
0.35,0.17,0.15,0.78,0.5,0,0.51,0.5,1,1,0
0.13,0.09,0.01,0.15,0.5,0,0.48,0.29,1,1,1
0.05,0.05,0.02,0.15,0.5,0,0.54,0.27,0,0,0
0,0.03,0.17,0.21,0.5,0,0.45,0.22,0,0,0
0.14,0.19,0.0599999999999999,0.4,0.5,0,0.47,0.36,0,1,1
0.21,0.2,0.08,0.33,0.5,0,0.42,0.22,1,1,0
0.26,0.19,0.07,0.22,0.5,0,0.52,0.27,0,0,1
0.04,0.07,0.01,0.2,0.5,0,0.5,0.25,0,0,1
0.0700000000000001,0.05,0.08,0.14,0.5,0,0.48,0.27,1,1,1
0,0.06,0.03,0.15,0.5,0,0.45,0.25,0,0,0
0.0600000000000001,0.08,0.05,0.21,0.5,0,0.48,0.22,1,0,1
0.09,0.01,0.05,0.1,0.5,0,0.54,0.25,1,0,1
0.09,0.08,0,0.26,0.5,0,0.49,0.37,1,0,0
0.2,0.01,0.02,0.42,0.5,0,0.51,0.22,1,1,0
0.0700000000000001,0.08,0.12,0.39,1,0,0.41,0.4,1,1,1
0.28,0.11,0.02,0.16,0.5,0,0.49,0.45,0,0,0
0.02,0.04,0.02,0.62,0.5,0,0.54,0.22,0,0,1
0.1,0.1,0.04,0.52,0.5,0,0.63,0.16,0,0,1
0.12,0.27,0.13,0.35,0.5,0,0.53,0.22,0,0,1
0.16,0.21,0.2,0.24,0.5,0,0.47,0.22,0,0,0
0.36,0.36,0.21,0.31,0.5,0,0.45,0.42,1,1,0
0.06,0.1,0,0.28,0.5,0,0.6,0.22,0,0,0
0.05,0.04,0.01,0.37,0.5,0,0.5,0.22,0,1,1
0.17,0.15,0.1,0.17,0.5,0,0.48,0.32,0,0,1
0.02,0.19,0.02,0.59,0.5,0,0.46,0.27,1,1,0
0.19,0.01,0.17,0.26,0.5,0,0.49,0.22,0,1,0
0.15,0.09,0.21,0.23,0.5,0,0.49,0.22,0,0,0
0.06,0.05,0.21,0.18,0.5,0,0.49,0.22,0,0,0
0.07,0.05,0.18,0.17,0.5,0,0.46,0.27,0,0,0
0.08,0.12,0.04,0.67,0.5,0,0.52,0.22,1,1,1
0.05,0.04,0.11,0.13,0.5,0,0.48,0.26,1,0,1
0.09,0.04,0.09,0.17,0.5,0,0.46,0.26,0,0,0
0.09,0.0600000000000001,0.01,0.22,0.5,0,0.56,0.22,1,1,1
0.14,0.04,0.16,0.33,0.5,0,0.5,0.32,0,1,0
0.01,0.03,0.09,0.32,0.5,0,0.44,0.55,1,0,0
0.03,0.08,0.01,0.44,0.5,0,0.47,0.22,0,0,0
0.16,0.12,0.12,0.3,0.5,0,0.43,0.28,1,1,0
0.01,0.06,0.06,0.17,0.5,0,0.52,0.37,0,0,0
0.06,0.17,0.05,0.27,0.5,0,0.53,0.27,0,0,1
0.38,0.34,0.0599999999999999,0.36,0.5,0,0.64,0.22,1,1,1
0.09,0.27,0.11,0.37,0.5,0,0.46,0.3,1,1,0
0.01,0.08,0.01,0.61,0.5,0,0.49,0.22,0,1,1
0.01,0.01,0.01,0.47,0.5,0,0.45,0.22,0,0,0
0.01,0.04,0.03,0.17,0.5,0,0.5,0.26,1,0,0
0.03,0.02,0.05,0.16,0.5,0,0.49,0.22,0,0,0
0.29,0.01,0.04,0.3,0.5,0,0.47,0.47,1,0,0
0.1,0.12,0.18,0.23,0.5,0,0.47,0.26,0,0,0
0.16,0.12,0.03,0.28,0.5,0,0.47,0.27,0,0,1
0.01,0.02,0.0599999999999999,0.24,0.5,0,0.5,0.22,0,1,1
0.31,0.01,0.05,0.12,0.5,0,1,0.25,0,0,0
0.04,0.02,0,0.11,0.5,0,0.51,0.41,1,1,0
0.17,0.02,0.04,0.25,0.5,0,0.51,0.22,0,0,1
0,0.01,0.05,0.63,0.5,0,0.48,0.22,0,0,0
0.0600000000000001,0,0.06,0.18,0.5,0,0.51,0.22,1,0,0
0.3,0.25,0.02,0.33,0.5,0,0.52,0.22,1,1,0
0.01,0,0.08,0.47,0.5,0,0.51,0.36,1,0,1
0.05,0.03,0.03,0.2,0.5,0,0.45,0.25,1,1,1
0.03,0.0600000000000001,0.1,0.13,0.5,0,0.53,0.22,0,1,1
0.08,0.09,0.11,0.3,0.5,0,0.52,0.11,1,0,1
0.11,0.02,0.09,0.38,0.5,0.83,0.48,0.24,1,1,1
0.04,0.07,0.07,0.29,0.5,0,0.5,0.22,1,0,1
0.05,0.05,0.16,0.35,0.5,0,0.52,0.26,0,0,1
0.13,0.11,0.05,0.44,0.5,0,0.52,0.22,0,0,1
0.09,0.04,0.01,0.53,0.5,0,0.53,0.31,1,1,0
0.12,0.03,0,0.37,0.5,0,0.49,0.22,1,0,0
0,0.05,0.06,0.55,0.5,0,0.52,0.22,0,0,0
0.17,0.04,0.07,0.2,0.5,0,0.45,0.33,0,0,0
0.09,0.08,0.03,0.69,0.5,0,0.46,0.22,1,1,1
0.14,0.02,0.05,0.12,0.5,0,0.5,0.22,1,0,1
0.03,0.03,0.05,0.12,0.5,0,0.45,0.22,0,0,1
0.1,0.14,0.02,0.17,0.5,0,0.51,0.22,0,0,0
0.08,0.1,0.05,0.19,0.5,0,0.64,0.22,0,1,0
0.32,0.3,0.19,0.37,0.5,0,0.59,0.22,1,1,0
0.05,0.08,0.22,0.21,0.5,0,0.51,0.22,0,0,0
0,0.11,0.04,0.17,0.5,0,0.56,0.22,0,1,1
0.02,0.03,0.03,0.41,0.5,0,0.47,0.22,1,0,1
0.13,0.1,0.04,0.26,0.5,0,0.51,0.22,0,0,1
0.02,0.1,0.14,0.31,0.5,0,0.49,0.36,0,1,0
0.01,0.13,0.01,0.3,0.5,0,0.49,0.37,0,1,1
0.14,0.01,0.07,0.27,0.5,0,0.49,0.22,0,1,0
0.13,0.19,0.01,0.19,0.5,0,0.45,0.3,0,0,0
0.02,0.02,0.01,0.15,0.5,0,0.5,0.48,0,0,0
0.06,0.11,0.13,0.12,0.5,0,0.5,0.22,0,0,0
0.01,0,0.06,0.23,0.5,0,0.49,0.22,0,0,0
0.1,0.21,0.03,0.14,0.5,0,0.41,0.22,0,0,1
0.27,0.18,0.14,0.22,0.5,0,0.46,0.22,1,1,0
0.2,0.1,0.01,0.12,0.5,0,0.62,0.35,1,0,1
0,0.03,0.02,0.7,0.5,0,0.49,0.22,0,1,1
0.12,0.07,0.09,0.13,0.5,0,0.49,0.22,0,0,1
0.0700000000000001,0.19,0.01,0.39,0.5,0,0.64,0.22,1,1,1
0.01,0.03,0.02,0.35,0.5,0.5,0.49,0.22,0,1,0
0.11,0.04,0.14,0.19,0.5,0,0.48,0.3,0,0,0
0.09,0.12,0.03,0.13,0.5,0,0.52,0.22,0,0,1
0.1,0.12,0,0.62,0.5,0,0.49,0.38,1,1,0
0.1,0,0.21,0.19,0.5,0,0.48,0.31,0,0,0
0.12,0.02,0.12,0.18,0.5,0,0.49,0.27,0,1,0
0.24,0.1,0.01,0.23,0.5,0,0.5,0.28,0,0,0
0,0.22,0.03,0.13,0.5,0,0.42,0.22,0,1,1
0.07,0.21,0,0.23,0.5,0,0.47,0.27,0,0,0
0.2,0.21,0.01,0.3,0.5,0,0.46,0.22,1,1,0
0.04,0.06,0.0599999999999999,0.24,0.5,0,0.61,0.28,1,0,1
0.0700000000000001,0.01,0.01,0.17,0.5,0,0.49,0.26,1,0,0
0.16,0.1,0.01,0.09,0.5,0,0.53,0.28,0,0,1
0.11,0.23,0.09,0.1,0.5,0,0.52,0.44,0,0,1
0.04,0.04,0.01,0.17,0.5,0,0.46,0.22,0,0,1
0.04,0.04,0.02,0.18,0.5,0,0.58,0.22,1,0,1
0.11,0.1,0.04,0.47,0.5,0,0.47,0.22,1,1,0
0.15,0.04,0.08,0.14,0.5,0,0.47,0.22,1,1,1
0.08,0.11,0.03,0.17,0.5,0,0.48,0.22,1,1,1
0.19,0.04,0.07,0.31,0.5,0,0.49,0.22,1,1,0
0.25,0.08,0.04,0.16,0.5,0,0.49,0.38,0,0,0
0.02,0.06,0.03,0.16,0.5,0,0.54,0.27,0,0,0
0,0,0,0.29,0.5,0,0.48,0.71,0,0,0
0.02,0.02,0.03,0.19,0.5,0,0.49,0.33,0,0,1
0.09,0.17,0.17,0.21,0.5,0,0.48,0.26,0,1,0
0.15,0.05,0,0.35,0.5,0,0.47,0.22,1,0,0
0.14,0.09,0.07,0.25,0.5,0,0.47,0.57,0,0,0
0.04,0.06,0.01,0.25,0.5,0,0.53,0.22,0,0,0
0.0700000000000001,0.02,0.19,0.49,0.5,0,0.52,0.22,1,1,0
0.1,0.1,0.08,0.25,0.5,0,0.55,0.22,0,0,1
0.12,0.11,0.0599999999999999,0.36,0.5,0,0.56,0.21,1,0,1
0.08,0,0.1,0.26,0.5,0,0.48,0.22,1,0,1
0.01,0.04,0.12,0.19,0.5,0,0.42,0.22,0,0,1
0.15,0.01,0.04,0.19,0.5,0,0.5,0.3,0,0,0
0.08,0.07,0.12,0.22,0.5,0,0.32,0.32,1,0,1
0.11,0.11,0.03,0.24,0.5,0,0.46,0.22,0,0,1
0.1,0.02,0.03,0.12,0.5,0,0.46,0.31,1,1,0
0.05,0.13,0.13,0.45,0.5,0,0.47,0.11,0,0,1
0.06,0.27,0.28,0.79,0.5,0,0.78,0,0,0,1
0.01,0.0600000000000001,0.03,0.1,0.5,0,0.45,0.22,0,1,0
0.0700000000000001,0.12,0.01,0.19,0.5,0,0.48,0.32,1,1,1
0.17,0.05,0.03,0.21,0.5,0,0.6,0.19,0,0,1
0.03,0.05,0.08,0.41,0.5,0,0.47,0.21,0,1,1
0.03,0.05,0.08,0.41,0.5,0,0.47,0.21,0,1,1
0.11,0.01,0.01,0.44,0.5,0,0.46,0.11,0,1,1
0.08,0.03,0.07,0.08,0.5,0,0.49,0.28,0,0,1
0.12,0.12,0,0.38,0.5,0,0.56,0.22,0,0,0
0.02,0.09,0.01,0.28,0.5,0,0.52,0.27,1,0,0
0.28,0.37,0.07,0.27,0.5,0,0.52,0.22,1,1,0
0.03,0.07,0,0.16,0.5,0,0.44,0.22,0,0,0
0.36,0.17,0.02,0.18,0.5,0,0.49,0.22,1,1,0
0.0600000000000001,0.0600000000000001,0.01,0.13,0.5,0,0.47,0.25,1,1,1
0.03,0.05,0.07,0.17,0.5,0,0.45,0.22,0,0,1
0.09,0.0700000000000001,0.05,0.14,0.5,0,0.49,0.22,1,1,0
0.05,0.02,0.05,0.15,0.5,0,0.46,0.31,1,1,1
0.02,0.12,0.05,0.28,0.5,0,0.48,0.99,0,0,0
0.21,0.29,0.02,0.24,0.5,0,0.52,0.22,1,1,1
0.36,0.2,0.17,0.31,0.5,0,0.43,0.3,1,1,0
0.0700000000000001,0.1,0.06,0.15,0.5,0,0.46,0.22,1,1,0
0.21,0.08,0.17,0.19,0.5,0,0.47,0.27,1,1,0
0.04,0.08,0.02,0.49,0.5,0,0.51,0.31,0,0,1
0.07,0.21,0.02,0.22,0.5,0,0.45,0.34,0,0,0
0.3,0.33,0.17,0.36,0.5,0,0.51,0.21,0,0,1
0.24,0.14,0.29,0.18,0.5,0,0.54,0.22,0,0,0
0.16,0.02,0.04,0.24,0.5,0,0.55,0.67,0,0,1
0.17,0.06,0.0599999999999999,0.6,0.5,0,0.81,0.33,1,0,1
0.17,0.19,0,0.16,0.5,0.83,0.45,0.22,0,1,0
0.12,0.01,0.16,0.37,0.5,0,0.44,0.62,0,0,1
0.0600000000000001,0.02,0.02,0.2,0.5,0,0.6,0.22,1,0,1
0.0600000000000001,0.03,0.04,0.15,0.5,0,0.53,0.22,1,0,0
0.13,0.16,0.02,0.24,0.5,0,0.49,0.42,1,0,0
0.04,0.01,0,0.18,0.5,0,0.48,0.27,1,0,0
0.02,0.01,0,0.19,0.5,0,0.49,0.27,1,0,0
0.02,0.01,0.02,0.45,0.5,0,0.52,0.22,1,1,0
0.21,0.09,0.02,0.39,0.5,0,0.41,0.22,1,1,1
0.04,0.08,0.01,0.21,0.5,0,0.46,0.38,0,1,1
0.09,0.06,0.19,0.11,0.5,0,0.51,0.22,1,0,0
0.26,0.27,0.07,0.22,0.5,0,0.51,0.22,1,1,1
0.09,0.12,0.07,0.16,0.5,0,0.49,0.22,1,0,1
0.06,0.21,0.1,0.32,0.5,0,0.48,0.22,0,0,0
0.1,0.02,0.04,0.21,0.5,0,0.53,0.22,1,1,0
0.09,0.02,0.12,0.2,0.5,0,0.5,0.42,1,1,1
0.07,0.01,0.08,0.17,0.5,0,0.49,0.22,0,1,1
0.11,0.07,0.01,0.19,0.5,0,0.56,0.22,0,0,0
0.11,0.07,0.01,0.19,0.5,0,0.56,0.22,0,0,0
0.02,0.0700000000000001,0.07,0.19,0.5,0,0.56,0.64,0,1,1
0.08,0.03,0.0599999999999999,0.25,0.5,0,0.43,0.38,0,0,1
0.05,0.05,0,0.16,0.5,0,0.42,0.22,0,1,0
0.05,0.0600000000000001,0,0.16,0.5,0,0.4,0.22,0,1,0
0.28,0.21,0.07,0.29,0.5,0,0.44,0.22,1,1,0
0.09,0.0700000000000001,0.02,0.15,0.5,0,0.51,0.22,0,1,1
0.3,0.3,0.09,0.26,0.5,0,0.4,0.22,1,1,0
0.03,0,0.08,0.21,0.5,0,0.53,0.22,1,0,1
0.08,0.07,0.02,0.17,0.5,0,0.52,0.58,0,0,1
0.1,0.04,0.24,0.17,0.5,0,0.49,0.22,0,0,1
0.13,0.11,0.03,0.22,0.5,0,0.46,0.27,1,1,1
0.16,0.03,0.02,0.12,0.5,0,0.5,0.27,0,0,1
0.3,0.0700000000000001,0.02,0.19,0.5,0,0.53,0.35,1,1,1
0.04,0.07,0.02,0.19,0.5,0,0.53,0.22,1,0,1
0.02,0.03,0.02,0.27,0.5,0,0.41,0.22,0,0,0
0.01,0.03,0.02,0.27,0.5,0,0.4,0.22,1,0,0
0.01,0.05,0.0599999999999999,0.28,0.5,0,0.43,0.22,1,0,1
0.0700000000000001,0,0.04,0.13,0.5,0,0.48,0.22,1,0,0
0.0600000000000001,0,0.09,0.18,0.5,0,0.49,0.22,1,0,1
0.02,0,0.03,0.55,0.5,0,0.48,0.58,1,0,0
0.01,0.09,0.07,0.12,0.5,0,0.51,0.22,0,1,1
0.01,0.0600000000000001,0.01,0.16,0.5,0,0.49,0.31,1,1,1
0.2,0.17,0.15,0.09,0.5,0,0.44,0.22,1,1,0
0.09,0.04,0.06,0.15,0.5,0,0.47,0.48,0,0,0
0.28,0.29,0.24,0.37,0.5,0,0.51,0.22,1,1,0
0.39,0.26,0.1,0.36,0.5,0,0.57,0.22,1,1,0
0.01,0.02,0.05,0.31,0.5,0,0.44,0.26,1,0,1
0.22,0.3,0.1,0.38,0.5,0,0.46,0.22,1,1,0
0.23,0.19,0.14,0.15,0.5,0,0.47,0.25,0,0,0
0.25,0.24,0.0599999999999999,0.28,0.5,0,0.49,0.11,0,0,1
0.03,0.1,0.13,0.12,0.5,0,0.5,0.22,0,1,0
0.31,0.33,0.11,0.31,0.5,0,0.43,0.25,1,1,0
0.0700000000000001,0.22,0.04,0.21,0.5,0,0.48,0.22,1,1,0
0.28,0.21,0.14,0.12,0.5,0,0.51,0.26,1,1,0
0.14,0.17,0.2,0.16,0.5,0,0.44,0.22,0,0,0
0.1,0.0700000000000001,0.17,0.18,0.5,0,0.51,0.22,0,1,0
0.03,0.16,0.15,0.26,0.5,0,0.56,0.22,1,1,0
0.09,0.09,0.07,0.37,0.5,0,0.47,0.25,0,0,0
0.2,0.23,0.08,0.17,0.5,0,0.45,0.3,0,0,0
0.02,0.03,0.1,0.36,0.5,0,0.51,0.22,1,0,0
0.11,0.19,0.21,0.27,0.5,0,0.45,0.22,1,1,0
0.03,0.03,0.17,0.2,0.5,0,0.49,0.25,1,0,0
0.14,0.2,0.05,0.14,0.5,0,0.46,0.66,0,0,0
0.09,0.18,0.02,0.16,0.5,0,0.53,0.28,1,1,0
0.36,0.36,0.21,0.31,0.5,0,0.45,0.42,1,1,0
0.02,0.11,0.07,0.19,0.5,0,0.43,0.22,0,0,1
0.08,0.04,0.05,0.23,0.5,0,0.5,0.7,0,0,0
0.24,0.09,0.01,0.15,0.5,0,0.44,0.28,0,0,1
0.17,0.2,0.22,0.08,0.5,0,0.48,0.22,0,0,0
0.14,0.08,0.01,0.48,0.5,0,0.49,0.22,1,1,0
