"V2","V3","V4","V5","V8","V9","c6","c7"
0.38,0.31,0.59,0.19,0.46,0.22,1,1
0.61,0.39,0.53,0.14,0.43,0.26,1,1
0.33,0.28,0.5,0.4,0.46,0.61,1,1
0.33,0.28,0.52,0.15,0.51,0.86,1,1
0.31,0.39,0.55,0.28,0.46,0.31,1,1
0.4,0.6,0.5,0.16,0.51,0.22,1,1
0.61,0.46,0.54,0.11,0.47,0.22,1,1
0.66,0.55,0.54,0.18,0.43,0.22,1,1
0.49,0.67,0.5,0.28,0.43,0.22,1,1
0.45,0.66,0.39,0.11,0.54,0.22,1,1
0.46,0.41,0.58,0.1,0.48,0.22,1,1
0.57,0.51,0.58,0.22,0.51,0.22,1,1
0.4,0.66,0.34,0.21,0.52,0.26,1,1
0.6,0.48,0.46,0.32,0.4,0.33,1,1
0.64,0.44,0.51,0.35,0.53,0.22,1,1
0.35,0.4,0.44,0.25,0.53,0.57,1,1
0.45,0.49,0.57,0.25,0.48,0.22,1,1
0.56,0.51,0.32,0.49,0.48,0.22,1,1
0.47,0.45,0.51,0.33,0.46,0.26,1,1
0.45,0.5,0.57,0.29,0.44,0.11,1,1
0.43,0.33,0.54,0.37,0.38,0.16,1,1
0.34,0.48,0.47,0.19,0.5,0.3,1,1
0.34,0.47,0.48,0.32,0.42,0.22,1,1
0.35,0.33,0.48,0.42,0.47,0.43,1,1
0.57,0.43,0.52,0.3,0.37,0.11,1,1
0.61,0.53,0.59,0.17,0.44,0.28,1,1
0.44,0.56,0.52,0.18,0.5,0.11,1,1
0.35,0.21,1,0.8,0.13,0.01,1,1
0.35,0.21,1,0.8,0.13,0.01,1,1
0.56,0.35,0.47,0.35,0.52,0.22,1,1
0.42,0.49,0.49,0.36,0.57,0.26,1,1
0.44,0.62,0.53,0.27,0.49,0.22,1,1
0.52,0.43,0.61,0.22,0.45,0.22,1,1
0.46,0.54,0.59,0.41,0.53,0.21,1,1
0.38,0.5,0.52,0.44,0.54,0.11,1,1
0.37,0.3,0.62,0.43,0.44,0.39,1,1
0.41,0.46,0.58,0.08,0.51,0.28,1,1
0.49,0.4,0.58,0.23,0.47,0.27,1,1
0.57,0.5,0.4,0.08,0.47,0.22,1,1
0.56,0.42,0.52,0.14,0.51,0.22,1,1
0.52,0.54,0.47,0.49,0.54,0.22,1,1
0.85,0.66,0.49,0.18,0.51,0.22,1,1
0.34,0.46,0.52,0.19,0.53,0.26,1,1
0.58,0.56,0.46,0.14,0.51,0.22,1,1
0.46,0.47,0.44,0.18,0.46,0.22,2,1
0.41,0.49,0.47,0.09,0.49,0.22,1,1
0.54,0.51,0.56,0.15,0.54,0.31,1,1
0.41,0.4,0.56,0.17,0.56,0.22,1,1
0.47,0.52,0.54,0.25,0.54,0.29,1,1
0.42,0.28,0.33,0.23,0.39,0.26,1,1
0.7,0.78,0.53,0.24,0.48,0.22,1,1
0.85,0.69,0.34,0.31,0.57,0.3,1,1
0.47,0.56,0.53,0.44,0.53,0.22,1,1
0.47,0.44,0.53,0.18,0.47,0.29,1,1
0.47,0.5,0.47,0.22,0.53,0.45,1,1
0.64,0.31,0.53,0.15,0.53,0.31,1,1
0.4,0.75,0.44,0.12,0.49,0.22,1,1
0.23,0.37,0.32,0.13,0.53,0.22,1,1
0.6,0.64,0.56,0.36,0.46,0.27,1,1
0.27,0.41,0.24,0.2,0.49,0.22,1,1
0.37,0.4,0.38,0.18,0.51,0.22,1,1
0.66,0.43,0.57,0.6,0.19,0.33,1,1
0.33,0.46,0.6,0.18,0.51,0.26,1,1
0.54,0.6,0.57,0.17,0.44,0.22,1,1
0.54,0.47,0.58,0.4,0.46,0.27,1,1
0.5,0.45,0.51,0.19,0.53,0.25,1,1
0.44,0.43,0.46,0.28,0.45,0.29,1,1
0.37,0.29,0.45,0.15,0.49,0.22,1,1
0.44,0.59,0.54,0.18,0.49,0.22,1,1
0.73,0.52,0.59,0.25,0.51,0.22,1,1
0.52,0.31,0.56,0.16,0.55,0.22,1,1
0.56,0.52,0.46,0.17,0.49,0.73,1,1
0.51,0.48,0.51,0.19,0.51,0.27,1,1
0.45,0.45,0.51,0.3,0.48,0.44,1,1
0.46,0.41,0.43,0.18,0.54,0.22,1,1
0.83,0.81,0.45,0.38,0.4,0.26,1,1
0.32,0.36,0.28,0.38,0.5,0.4,1,1
0.45,0.57,0.52,0.21,0.54,0.38,1,1
0.66,0.65,0.53,0.17,0.47,0.66,1,1
0.74,0.82,0.46,0.24,0.48,0.22,1,1
0.51,0.59,0.55,0.21,0.52,0.22,1,1
0.59,0.48,0.49,0.42,0.52,0.22,1,1
0.57,0.35,0.5,0.43,0.53,0.22,1,1
0.41,0.46,0.57,0.25,0.57,0.38,1,1
0.77,0.7,0.44,0.29,0.56,0.22,1,1
0.79,0.79,0.42,0.26,0.6,0.22,1,1
0.53,0.51,0.54,0.21,0.45,0.22,1,1
0.44,0.49,0.49,0.27,0.52,0.22,1,1
0.63,0.54,0.53,0.27,0.49,0.22,1,1
0.54,0.43,0.48,0.27,0.44,0.41,1,1
0.4,0.44,0.5,0.13,0.52,0.39,1,1
0.55,0.39,0.39,0.47,0.5,0.83,1,1
0.49,0.38,0.49,0.15,0.53,0.25,1,1
0.53,0.45,0.52,0.29,0.55,0.38,1,1
0.79,0.56,0.53,0.19,0.47,0.35,1,1
0.59,0.46,0.55,0.17,0.52,0.25,1,1
0.36,0.52,0.61,0.33,0.52,0.37,1,1
0.43,0.48,0.36,0.26,0.52,0.22,1,1
0.59,0.7,0.46,0.19,0.54,0.44,1,1
0.42,0.46,0.44,0.17,0.51,0.42,1,1
0.56,0.49,0.47,0.13,0.52,0.22,1,1
0.66,0.37,0.6,0.25,0.69,0.22,1,1
0.68,0.68,0.35,0.16,0.62,0.22,1,1
0.6,0.37,0.52,0.15,0.55,0.26,1,1
0.4,0.36,0.32,0.16,0.51,0.27,1,1
0.65,0.63,0.47,0.22,0.52,0.27,1,1
0.63,0.56,0.52,0.21,0.5,0.22,1,1
0.57,0.47,0.48,0.17,0.52,0.26,1,1
0.39,0.63,0.41,0.27,0.49,0.22,1,1
0.57,0.53,0.6,0.28,0.52,0.45,1,1
0.32,0.3,0.57,0.38,0.5,0.25,1,1
0.45,0.5,0.43,0.16,0.52,0.28,1,1
0.24,0.25,0.57,0.28,0.51,0.11,1,1
0.22,0.53,0.36,0.22,0.54,0.31,1,1
0.25,0.41,0.47,0.14,0.56,0.68,1,1
0.29,0.39,0.46,0.36,0.51,0.22,1,1
0.4,0.4,0.43,0.19,0.48,0.22,1,3
0.57,0.52,0.46,0.2,0.52,0.41,1,3
0.43,0.6,0.4,0.12,0.49,0.29,1,1
0.77,0.7,0.37,0.12,0.49,0.26,1,1
0.71,0.51,0.49,0.23,0.3,0.32,1,1
0.3,0.68,0.41,0.17,0.51,0.22,1,1
0.38,0.56,0.38,0.16,0.53,0.22,1,1
0.47,0.4,0.63,0.19,0.52,0.32,1,1
0.33,0.38,0.47,0.14,0.51,0.47,1,1
0.5,0.63,0.45,0.13,0.45,0.32,1,1
0.2,0.6,0.5,0.29,0.51,0.22,1,1
0.72,0.73,0.41,0.28,0.44,0.22,1,1
0.82,0.63,0.47,0.18,0.5,0.22,1,1
0.47,0.5,0.6,0.63,0.38,0.16,1,1
0.34,0.24,0.51,0.15,0.54,0.4,1,1
0.5,0.61,0.44,0.2,0.49,0.22,1,1
0.41,0.45,0.46,0.23,0.5,0.7,1,1
0.74,0.75,0.45,0.44,0.52,0.22,1,1
0.58,0.56,0.38,0.39,0.54,0.57,1,1
0.39,0.58,0.47,0.18,0.48,0.22,1,1
0.38,0.47,0.47,0.18,0.44,0.26,1,1
0.6,0.61,0.54,0.11,0.46,0.22,1,1
0.65,0.54,0.54,0.13,0.53,0.22,1,1
