"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"D","S","I",1,2,1,2,2,1,1
"E","K","I",2,3,1,2,2,2,1
"B","X","O",1,2,1,2,2,1,1
"C","S","O",1,3,1,2,2,1,1
"H","S","X",1,2,1,2,2,1,1
"H","S","X",1,3,1,2,2,1,1
"E","H","O",2,2,1,2,2,1,1
"H","S","X",1,3,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"F","A","I",2,2,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"D","A","I",1,3,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"H","R","X",2,2,1,2,2,1,1
"D","A","I",1,3,1,2,2,1,1
"H","A","X",1,2,1,1,2,1,1
"B","X","I",1,3,1,1,2,1,1
"H","S","X",1,3,1,1,2,1,1
"B","X","I",1,2,1,1,2,1,1
"C","R","O",1,3,1,1,2,1,1
"H","S","X",1,2,1,1,2,1,1
"B","X","O",1,3,1,1,2,1,1
"H","H","X",1,3,1,1,2,1,1
"H","R","X",1,1,1,1,2,1,1
"D","R","O",1,2,1,1,2,1,1
"D","A","I",1,3,1,2,2,1,1
"D","A","I",1,3,1,2,2,1,1
"H","S","X",1,2,1,1,1,1,1
"H","S","X",1,2,1,1,2,1,1
"C","S","O",2,2,3,2,2,1,1
"D","S","O",1,1,1,1,2,1,1
"H","S","X",1,1,2,2,2,1,1
"C","S","O",1,3,1,1,2,1,1
"D","K","I",2,3,1,2,2,1,1
"E","A","I",1,3,1,2,2,1,1
"H","S","X",1,3,1,1,2,1,1
"H","S","X",1,3,1,2,2,1,1
"C","S","O",1,2,1,1,2,1,1
"H","S","X",1,3,1,2,1,1,1
"B","X","O",1,2,1,1,2,1,1
"H","S","X",1,2,1,1,2,1,1
"D","S","I",2,3,1,2,2,1,1
"H","S","X",1,2,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"C","S","O",1,2,1,2,2,1,1
"D","K","I",2,2,1,2,2,1,1
"D","R","O",1,3,1,1,2,1,1
"H","S","X",1,2,1,1,2,1,1
"D","A","I",1,3,1,1,2,1,1
"D","A","I",1,3,1,1,2,1,1
"D","S","I",1,3,1,1,2,1,1
"C","A","O",2,2,3,2,2,1,1
"D","K","I",1,3,1,2,2,1,1
"D","A","O",1,3,1,2,2,1,1
"D","K","I",1,3,1,2,2,1,1
"D","K","I",2,2,1,2,2,1,1
"D","K","I",1,3,1,2,2,1,1
"H","S","X",1,1,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"F","K","C",1,3,1,2,2,2,1
"D","K","C",2,3,1,2,2,2,1
"B","X","O",1,3,1,1,2,1,1
"C","R","O",1,3,1,1,2,1,1
"H","S","X",1,3,1,1,1,1,1
"E","K","C",2,2,3,2,2,2,1
"B","S","O",1,2,1,1,2,1,1
"H","S","X",1,3,1,2,2,1,1
"F","S","I",2,2,1,2,2,1,1
"D","S","I",1,3,1,1,2,1,1
"E","K","C",2,3,1,2,2,2,1
"D","A","I",1,2,1,2,2,1,1
"B","X","O",1,3,1,1,2,1,1
"E","K","C",2,2,1,2,2,1,1
"D","H","O",1,3,1,2,2,1,1
"H","S","X",1,3,1,1,1,1,1
"D","S","O",1,3,1,2,2,1,1
"H","S","X",1,2,1,1,2,1,1
