"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
4,73,11,78,12,94,5,74,17,98,2,-2,3,79,1,73,12,95,0,20,13,91,0,76,16,99,4,71,16,99,4,74,12,95,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,23,89,4,69,23,92,1,77,14,16,3,79,18,87,3,79,21,42,1,75,21,90,3,75,19,87,1,72,19,90,0,64,19,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,49,27,89,15,49,27,89,14,52,26,13,12,54,30,91,12,51,33,42,14,51,33,90,13,48,30,92,17,48,30,90,16,48,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,83,14,87,0,83,14,90,4,83,13,11,3,75,20,87,3,75,19,43,0,75,15,86,2,71,12,84,9,60,4,76,11,49,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,107,12,66,24,112,17,65,25,112,18,-11,25,107,12,67,25,107,9,18,21,107,9,65,22,109,12,65,22,104,12,72,23,104,12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,103,7,69,20,103,12,65,21,107,13,-7,25,103,8,67,20,107,9,18,21,111,13,65,18,104,4,73,18,96,4,76,19,104,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,103,7,73,20,99,3,72,17,103,8,-4,16,99,3,67,11,99,0,26,21,95,0,78,22,109,12,62,18,104,8,68,19,104,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,99,3,69,16,103,7,72,21,95,4,0,11,99,1,75,20,95,0,26,21,95,0,74,18,104,8,65,18,104,4,72,15,100,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,12,69,20,103,7,72,21,103,13,-4,20,103,12,71,16,103,4,22,17,99,9,74,14,100,4,73,14,100,4,76,19,100,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,79,1,73,12,95,1,72,13,91,0,0,16,99,3,71,16,99,4,22,12,95,0,82,14,100,4,69,18,100,8,72,19,100,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,22,87,8,68,22,90,14,54,25,11,1,64,20,87,9,61,23,34,12,54,15,90,2,71,20,88,2,63,24,91,8,60,27,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,137,38,46,34,126,33,53,21,121,28,-19,22,109,11,65,22,113,17,13,23,113,22,61,24,103,10,68,19,108,14,71,20,103,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,99,3,75,16,99,3,78,17,103,4,2,27,123,26,54,14,100,8,20,15,100,8,76,28,127,30,49,24,108,14,71,16,103,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,103,3,75,11,107,8,70,12,107,9,-6,14,100,7,73,14,100,4,27,11,100,4,76,15,103,5,71,11,103,10,74,12,99,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,95,1,75,7,91,5,82,8,91,4,10,10,91,5,80,6,87,8,35,7,87,12,87,11,91,7,82,11,91,10,89,12,88,7,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,87,12,87,3,79,20,95,4,79,15,19,6,83,9,88,2,83,8,39,3,83,12,87,7,88,10,86,7,91,3,82,8,88,7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,20,92,1,75,16,86,0,75,4,2,9,60,5,73,12,49,4,5,18,40,12,43,22,37,19,27,22,32,19,26,21,34,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,103,8,67,16,103,12,70,21,111,13,-11,22,104,11,65,22,104,12,20,23,109,12,72,19,108,14,68,24,108,14,67,29,108,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,12,62,25,107,8,65,26,111,13,-11,22,109,11,69,22,109,17,16,23,109,12,68,28,108,14,64,28,112,14,67,25,108,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,17,62,25,107,12,70,26,107,13,-6,22,104,16,62,22,109,12,16,23,109,12,68,24,108,10,68,19,103,10,67,20,103,14,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,8,67,20,107,8,70,21,103,9,-6,22,104,7,62,22,109,8,16,19,104,12,72,24,103,5,68,19,103,5,74,25,103,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,8,67,20,111,12,65,21,107,13,-6,18,96,3,73,18,104,8,20,23,109,12,65,19,99,5,71,19,103,5,71,25,108,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,12,62,20,107,12,70,21,107,13,-6,18,104,7,69,22,109,12,13,19,109,8,68,19,103,5,68,24,108,10,67,25,108,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,8,71,16,99,3,70,12,99,0,2,18,109,11,65,22,109,12,13,19,104,8,68,19,108,10,68,19,108,19,67,20,103,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,99,3,71,11,95,1,82,8,87,7,10,18,100,7,69,18,100,12,20,19,100,12,72,15,103,5,68,15,103,5,78,16,103,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,87,8,83,7,83,16,86,4,75,15,14,18,100,11,69,14,96,0,24,11,83,16,87,15,103,5,71,19,103,5,74,12,88,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,20,87,1,72,20,90,0,64,19,14,2,79,13,88,2,75,24,39,1,71,20,91,3,77,18,90,3,81,18,89,4,77,14,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,7,73,14,100,3,79,11,100,4,0,15,103,4,71,11,103,10,22,12,99,5,74,10,106,10,67,10,102,10,74,11,102,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,71,13,84,9,60,5,76,11,49,4,-19,19,45,18,38,22,37,19,-22,21,32,19,26,24,34,24,18,24,34,24,21,25,31,24,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,109,11,65,22,109,11,68,23,104,12,-4,19,103,9,64,19,103,14,19,25,108,14,71,25,106,14,64,25,111,10,63,26,106,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,104,11,65,18,104,7,68,23,104,8,-11,24,108,9,68,24,108,10,19,25,103,5,71,21,111,10,67,17,106,10,70,22,106,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,104,7,65,22,104,7,65,23,109,8,-8,24,108,9,68,24,103,5,19,20,103,5,74,17,106,10,67,21,106,14,67,22,106,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,104,7,69,22,109,11,65,19,109,8,-8,19,103,4,68,24,108,10,15,25,108,10,67,21,111,10,67,21,106,10,70,22,106,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,96,1,73,14,100,7,76,15,96,4,3,19,95,4,71,15,99,1,26,16,99,5,78,17,111,14,67,21,106,14,70,22,106,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,7,73,14,96,3,79,15,96,0,0,15,99,0,75,15,99,5,26,16,95,1,78,21,106,14,67,21,106,5,70,18,102,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,96,1,73,14,100,3,79,15,96,4,0,11,99,4,71,15,95,5,22,16,95,1,78,17,102,1,71,14,102,5,74,15,102,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,60,28,91,9,56,25,91,8,53,24,11,5,66,33,97,5,63,28,45,4,66,28,93,1,79,18,89,2,79,18,95,0,75,26,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,53,25,84,12,49,28,87,18,40,31,15,5,66,29,90,9,57,25,41,11,48,25,89,1,75,26,92,8,63,26,99,10,56,26,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,99,4,71,11,95,0,78,16,95,7,6,14,102,0,74,10,102,5,25,11,97,1,77,12,98,2,75,12,98,2,81,17,94,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,91,8,82,11,91,11,89,12,88,7,13,6,92,8,85,10,88,3,32,15,88,3,84,12,89,2,82,12,94,6,85,13,94,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,91,11,86,11,88,8,89,12,91,7,9,10,88,4,81,14,88,3,32,11,92,3,84,12,94,6,82,12,94,6,85,13,89,10,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,91,8,82,7,91,8,89,12,88,7,13,10,92,4,81,10,88,7,32,15,92,7,84,12,89,10,86,12,89,10,85,13,85,10,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,91,8,86,11,88,8,89,8,84,10,13,10,88,8,81,14,92,7,32,11,88,7,84,12,89,10,82,12,85,10,89,5,85,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,32,18,23,22,34,18,26,25,34,19,-50,26,31,23,21,24,34,19,-28,23,37,19,21,24,34,31,19,24,31,25,22,20,31,31,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,103,4,68,19,95,4,74,16,99,10,-2,14,102,9,71,17,102,10,22,18,97,5,74,16,102,6,71,20,111,11,66,21,102,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,95,4,71,15,99,9,74,20,99,5,-5,17,102,9,71,17,97,5,22,15,97,5,74,20,111,11,63,20,102,15,70,17,111,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,108,13,64,28,108,13,67,29,112,14,-9,25,115,13,64,25,111,19,15,22,111,14,70,24,111,11,67,20,106,6,74,17,102,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,99,4,75,11,99,4,74,16,95,5,-2,17,102,4,71,17,102,1,22,15,102,5,74,20,106,11,67,20,111,11,70,21,102,11,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,95,4,71,15,95,0,78,16,99,5,-2,14,102,4,71,14,102,14,18,22,106,14,70,20,102,11,71,16,102,6,74,21,102,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,99,4,71,15,103,4,71,16,103,5,2,21,106,13,71,14,102,5,22,11,102,5,74,16,102,2,71,12,98,2,78,17,98,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,103,4,68,15,103,4,78,16,103,5,-2,14,102,4,71,10,102,5,22,15,106,5,70,12,98,2,75,16,98,6,74,13,98,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,77,19,90,3,81,19,89,4,77,14,13,2,79,19,89,2,88,11,36,7,84,15,88,8,85,14,82,8,85,14,85,1,85,14,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,125,34,50,25,130,28,56,22,120,29,-16,20,125,35,45,20,125,36,0,21,125,25,55,20,121,28,55,24,116,22,58,21,116,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,102,0,74,10,102,4,77,11,97,1,1,12,98,3,75,12,98,2,29,17,94,2,81,12,95,0,76,12,99,0,83,17,95,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,97,0,74,14,92,8,81,11,92,7,8,16,94,3,78,12,94,6,33,13,89,6,85,16,95,0,76,12,99,0,83,13,95,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,92,8,81,6,92,8,88,11,88,3,8,12,89,7,82,12,89,2,33,13,94,6,85,12,95,0,80,16,95,0,83,13,91,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,92,8,81,10,88,8,84,11,84,7,12,12,85,11,86,4,85,6,33,5,81,6,85,0,68,0,66,12,54,8,54,11,54,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,34,23,18,26,31,23,24,23,34,19,-52,24,31,19,15,24,34,31,-30,23,31,25,22,25,31,33,15,25,31,28,22,24,31,28,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,34,18,21,24,37,18,21,23,34,24,-55,24,31,24,19,21,31,31,-34,26,31,31,22,25,31,28,19,22,34,33,25,24,31,28,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14,102,9,71,17,102,9,74,18,97,5,-2,16,102,5,71,20,111,11,14,21,102,15,70,3,87,4,73,20,103,8,69,21,103,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,106,13,64,25,115,13,67,26,115,14,-9,16,106,10,67,24,106,11,18,25,111,11,70,20,107,13,69,20,107,13,69,25,107,13,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,111,13,67,21,106,13,70,22,106,10,-6,16,102,5,71,20,106,6,18,21,111,15,74,20,103,8,66,24,107,13,69,21,107,13,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,106,13,64,17,102,9,70,18,106,14,-6,20,106,14,67,24,106,11,18,25,106,11,70,16,99,8,69,16,103,13,69,21,107,13,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,97,4,71,17,102,4,70,18,102,1,1,20,102,5,71,20,106,6,22,21,106,15,70,20,103,8,69,20,107,13,69,21,103,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,102,0,71,14,102,4,74,15,102,14,-6,20,111,10,67,20,102,11,22,17,102,6,74,20,103,18,69,20,99,8,72,17,103,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88,12,85,6,84,16,88,7,79,15,12,8,85,15,82,0,85,14,37,5,85,14,85,3,83,13,84,3,83,9,83,9,87,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,79,19,89,2,79,19,95,0,75,26,19,4,81,19,86,4,81,14,37,5,77,22,96,8,83,13,87,3,79,17,90,4,79,21,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,98,3,75,12,98,1,81,17,94,2,5,12,95,1,76,12,99,0,31,17,95,0,79,16,95,4,75,16,99,0,82,12,99,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,85,11,86,4,85,7,85,5,81,6,9,0,68,1,66,12,54,8,2,11,54,4,65,24,34,28,25,24,34,23,28,19,37,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,81,7,82,4,69,1,74,10,49,11,-28,12,54,3,62,15,45,13,-9,21,34,33,11,20,37,18,33,17,45,13,53,23,37,28,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,34,24,19,21,34,30,22,20,34,25,-54,22,31,32,8,25,31,39,-41,24,31,39,14,24,32,39,0,24,29,45,7,23,29,39,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,34,19,19,24,31,19,18,23,34,31,-54,22,31,32,15,25,31,33,-34,24,31,28,22,24,29,34,13,24,32,34,20,19,34,28,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,31,24,19,21,31,30,18,26,31,31,-54,25,31,27,19,22,34,33,-27,24,31,28,22,20,37,23,29,24,34,18,28,23,37,23,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4,73,5,71,16,102,5,74,21,111,11,-10,18,51,12,51,3,87,4,24,21,103,8,69,20,37,23,29,9,58,4,65,12,91,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,106,10,67,24,111,10,70,21,106,6,-2,20,107,12,66,24,107,13,17,21,103,13,72,20,107,9,67,20,107,4,74,21,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106,5,71,16,102,5,74,21,106,6,-6,20,103,12,69,20,103,8,17,25,107,13,69,20,107,9,67,20,103,9,70,21,111,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,106,10,67,20,106,10,70,17,102,15,-6,20,107,12,66,20,107,8,20,21,107,4,69,25,111,9,67,25,111,9,70,26,107,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106,14,67,24,106,10,70,25,106,11,-6,16,99,7,69,16,103,13,17,21,107,13,72,16,103,9,71,20,103,9,70,21,103,9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,19,60,20,111,19,66,21,106,11,-10,24,112,17,62,20,103,13,20,21,103,8,72,25,116,18,58,20,111,13,70,21,107,9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106,10,67,20,111,10,70,21,102,11,-2,20,107,17,66,20,103,18,20,21,99,8,72,20,103,13,67,20,107,9,70,21,103,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,51,12,51,3,87,3,76,21,103,8,-7,20,37,22,29,9,58,4,13,12,91,0,78,22,34,22,29,19,37,17,32,18,43,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,103,7,66,24,107,12,69,21,107,13,-7,20,103,8,67,20,111,9,18,26,107,13,65,18,104,8,65,18,109,4,72,19,109,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,17,62,20,107,12,69,21,107,13,-7,25,111,8,62,20,107,9,18,17,107,9,65,18,104,12,69,18,104,8,68,19,104,8,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,103,7,69,20,107,12,69,21,103,13,-11,20,107,8,67,20,111,9,13,17,111,13,65,22,104,12,69,22,109,17,72,23,109,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,17,66,20,103,17,72,21,99,8,-4,20,103,12,67,20,107,9,18,21,103,13,70,18,104,8,69,22,109,8,72,15,96,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,95,3,75,16,99,1,82,12,99,0,6,14,100,1,73,14,100,4,27,11,96,0,76,15,99,1,75,15,95,1,78,12,91,5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,45,12,38,24,34,27,28,23,34,23,-48,25,32,26,21,25,34,27,-28,24,32,22,24,26,32,24,15,26,32,35,18,25,32,30,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,27,33,8,24,29,33,16,23,32,34,-56,22,29,32,3,22,29,38,-42,21,29,33,17,26,30,35,4,26,30,30,15,21,30,24,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,34,27,25,20,37,22,32,23,34,18,-48,22,32,26,21,22,32,22,-20,21,34,22,32,22,32,24,23,22,34,30,26,18,34,24,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,58,3,62,11,91,1,78,21,107,9,-6,19,37,16,29,19,43,17,-6,1,71,0,72,22,37,19,27,22,37,19,33,15,51,10,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,107,8,67,20,103,8,70,21,111,9,-6,18,104,11,69,18,104,8,16,19,109,4,72,19,103,10,68,19,103,5,71,20,103,14,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,107,8,67,20,107,12,70,26,111,9,-6,22,109,11,65,22,109,12,16,19,109,12,68,24,112,19,64,24,108,10,67,25,112,19,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,107,12,62,20,103,12,70,17,103,4,-2,22,113,11,65,22,109,12,16,19,109,8,68,24,108,10,68,19,103,5,71,20,108,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,103,3,71,16,103,3,74,21,107,13,-6,18,109,7,65,18,104,8,20,19,104,8,68,19,108,10,68,19,112,14,67,16,103,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,103,3,71,20,107,12,70,26,111,9,-11,18,104,7,69,18,104,8,16,19,104,12,72,19,112,14,64,15,103,5,74,16,99,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,12,67,25,111,8,65,21,107,9,-6,18,104,7,65,18,104,12,20,19,104,8,68,15,103,5,71,15,99,10,71,20,103,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,12,67,20,107,8,74,17,103,9,-2,27,113,11,62,18,104,8,20,19,100,8,76,24,99,1,71,15,95,1,78,8,91,7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,83,12,87,7,83,16,90,8,83,11,10,6,87,9,80,6,83,16,39,7,83,12,87,3,88,7,82,7,84,10,89,0,73,25,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,79,12,83,3,79,16,90,8,83,11,14,6,83,17,84,6,83,20,35,11,87,8,83,5,66,28,97,5,70,28,97,4,77,14,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,109,16,65,18,109,11,65,23,113,22,-11,24,112,18,64,24,112,14,11,25,112,19,63,25,115,19,60,21,115,19,67,22,115,14,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,109,11,62,22,113,21,65,23,109,12,-11,24,112,13,60,24,112,19,11,25,117,19,59,21,115,19,64,21,115,14,63,26,115,24,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,113,11,65,18,109,3,72,15,100,4,0,28,112,18,60,24,108,14,15,20,103,5,74,25,115,19,60,29,111,19,63,26,106,14,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,29,37,3,19,32,37,6,21,29,38,-70,22,40,18,15,26,30,35,-52,25,30,40,7,18,43,10,39,24,34,29,14,25,29,35,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22,29,37,3,22,29,32,6,21,29,38,-66,26,30,39,4,26,30,35,-45,25,30,30,15,26,29,35,4,24,29,24,14,23,34,29,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22,29,32,14,22,32,26,24,21,32,22,-44,22,30,23,19,22,32,24,-26,21,34,30,26,24,34,24,11,24,34,19,21,25,34,19,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,71,1,69,14,96,3,76,23,104,8,-4,16,51,9,56,7,84,1,26,20,99,5,74,21,40,14,39,11,60,5,63,15,92,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
